defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Riccardo Gagliolo,Carpi,2135.65,9.5,9.5,9.5,9.5,9.5,24,23.7,0.03,0.03,0.03,0.03,0.05,9.5,12,27
Cristian Daniel Ansaldi,Genoa,895.8,9.5,9.5,9.5,9.5,9.4,10,10.0,0.03,0.03,0.03,0.03,0.05,9.48,12,27
Thiago Rangel Cionek,Palermo,444.92,9.5,9.5,9.5,9.5,9.2,5,4.9,0.03,0.03,0.03,0.03,0.05,9.44,12,27
Felipe Dias da Silva dal Belo,Udinese,2157.75,9.5,9.5,9.5,9.5,9.0,26,24.0,0.03,0.03,0.03,0.03,0.05,9.4,12,27
Rafael Márquez Álvarez,Hellas Verona,765.87,9.5,9.5,9.5,9.0,9.5,9,8.5,0.03,0.03,0.03,0.03,0.05,9.4,12,27
Davide Bertoncini,Frosinone,368.92,9.5,9.5,9.5,8.8,9.5,5,4.1,0.03,0.03,0.03,0.03,0.05,9.36,12,27
Iván Rodrigo Piris Leguizamón,Udinese,1690.98,9.5,9.5,9.5,9.5,8.8,23,18.8,0.03,0.03,0.03,0.03,0.05,9.36,12,27
Daniel Pavlovic,Frosinone,550.92,9.5,9.5,9.5,8.7,9.5,6,6.1,0.03,0.03,0.03,0.03,0.05,9.34,12,27
Abdelhamid El Kaoutari,Palermo,649.85,9.5,9.5,9.5,9.5,8.6,7,7.2,0.03,0.03,0.03,0.03,0.05,9.32,12,27
Matteo Bianchetti,Hellas Verona,1524.6,9.5,9.5,9.5,9.5,8.6,20,16.9,0.03,0.03,0.03,0.03,0.05,9.32,12,27
Cristian Zaccardo,Carpi,1730.52,9.5,9.5,9.5,9.0,9.0,19,19.2,0.03,0.03,0.03,0.03,0.05,9.3,12,27
Nikola Maksimović,Torino,1491.67,9.5,9.5,9.5,8.4,9.5,16,16.6,0.03,0.03,0.03,0.03,0.05,9.28,12,27
Danilo Larangeira,Udinese,3019.25,9.5,9.5,9.5,8.3,9.5,34,33.5,0.03,0.03,0.03,0.03,0.05,9.26,12,27
Sebastian De Maio,Genoa,2259.62,9.5,9.5,9.5,9.2,8.6,27,25.1,0.03,0.03,0.03,0.03,0.05,9.26,12,27
Domenico Maietta,Bologna,1601.62,9.5,9.5,9.5,8.9,8.8,19,17.8,0.03,0.03,0.03,0.03,0.05,9.24,12,27
Giovanni Marchese,Genoa,634.92,9.5,9.5,9.5,8.6,9.0,9,7.1,0.03,0.03,0.03,0.03,0.05,9.22,12,27
Cesare Bovo,Torino,1840.6,9.5,9.5,9.5,8.1,9.5,21,20.5,0.03,0.03,0.03,0.03,0.05,9.22,12,27
Rafael Tolói,Atalanta,1853.52,9.5,9.5,9.5,8.7,8.8,22,20.6,0.03,0.03,0.03,0.03,0.05,9.2,12,27
Luca Rossettini,Bologna,1983.58,9.5,9.5,9.5,8.2,9.3,22,22.0,0.03,0.03,0.03,0.03,0.05,9.2,12,27
Molla Wagué,Udinese,1710.53,9.5,9.5,9.5,9.4,8.1,21,19.0,0.03,0.03,0.03,0.03,0.05,9.2,12,27
Joachim Andersen,Denmark,372.93,9.2,9.2,9.2,9.2,9.2,4,4.1,0.03,0.03,0.03,0.04,0.06,9.2,55,282
Vanja Drkušić,Slovenia,379.97,9.2,9.2,9.2,9.2,9.2,4,4.2,0.03,0.03,0.03,0.04,0.06,9.2,55,282
Jaka Bijol,Slovenia,398.93,9.2,9.2,9.2,9.2,9.2,4,4.4,0.03,0.03,0.03,0.04,0.06,9.2,55,282
Fabrizio Poli,Carpi,414.93,9.5,9.5,9.5,8.5,9.0,5,4.6,0.03,0.03,0.03,0.03,0.05,9.2,12,27
Juan Guilherme Nunes Jesus,Inter Milan,956.02,9.5,9.5,9.5,9.4,8.0,13,10.6,0.03,0.03,0.03,0.03,0.05,9.18,12,27
Daniele De Rossi,AS Roma,690.9,9.5,9.5,9.5,8.1,9.3,8,7.7,0.03,0.03,0.03,0.03,0.05,9.18,12,27
Nicolò Cherubin,Atalanta,1050.22,9.5,9.5,9.5,8.9,8.5,13,11.7,0.03,0.03,0.03,0.03,0.05,9.18,12,27
Vincent Laurini,Empoli,462.92,9.5,9.5,9.5,9.3,8.1,5,5.1,0.03,0.03,0.03,0.03,0.05,9.18,12,27
Ezequiel Muñoz,Genoa,1427.68,9.5,9.5,9.5,9.5,7.9,18,15.9,0.03,0.03,0.03,0.03,0.05,9.18,12,27
Santiago Juan Gentiletti Selak,Lazio,1766.67,9.5,9.5,9.5,8.9,8.5,19,19.6,0.03,0.03,0.03,0.03,0.05,9.18,12,27
Gabriel Alejandro Paletta,Atalanta,2051.55,9.5,9.5,9.5,8.3,9.0,24,22.8,0.03,0.03,0.03,0.03,0.05,9.16,12,27
Leonardo Blanchard,Frosinone,2439.58,9.5,9.5,9.5,7.8,9.5,28,27.1,0.03,0.03,0.03,0.03,0.05,9.16,12,27
Thomas Heurtaux,Udinese,1062.8,9.5,9.5,9.5,8.8,8.5,15,11.8,0.03,0.03,0.03,0.03,0.05,9.16,12,27
Adriano Russo,Frosinone,886.8,9.5,9.5,9.5,9.5,7.7,10,9.9,0.03,0.03,0.03,0.03,0.05,9.14,12,27
Eros Pisano,Hellas Verona,461.93,9.5,9.5,9.5,7.7,9.5,5,5.1,0.03,0.03,0.03,0.03,0.05,9.14,12,27
Mattia Cassani,Sampdoria,1299.73,9.5,9.5,9.5,8.3,8.9,14,14.4,0.03,0.03,0.03,0.03,0.05,9.14,12,27
Armando Izzo,Genoa,2404.57,9.5,9.5,9.5,8.9,8.3,28,26.7,0.03,0.03,0.03,0.03,0.05,9.14,12,27
Marios Oikonomou,Bologna,1573.58,9.5,9.5,9.5,8.2,9.0,19,17.5,0.03,0.03,0.03,0.03,0.05,9.14,12,27
João Miranda de Souza Filho,Inter Milan,2781.47,9.5,9.5,9.5,8.5,8.6,32,30.9,0.03,0.03,0.03,0.03,0.05,9.12,12,27
Young-Gwon Kim,South Korea,369.95,9.1,9.1,9.1,9.1,9.1,4,4.1,0.03,0.03,0.03,0.03,0.05,9.1,43,106
Andrea Masiello,Atalanta,1151.73,9.5,9.5,9.5,7.7,9.3,13,12.8,0.03,0.03,0.03,0.03,0.05,9.1,12,27
Harry Souttar,Australia,378.88,9.1,9.1,9.1,9.1,9.1,4,4.2,0.03,0.03,0.03,0.03,0.05,9.1,43,106
Philippe Mexès,AC Milan,408.88,9.5,9.5,9.5,7.7,9.3,5,4.5,0.03,0.03,0.03,0.03,0.05,9.1,12,27
Romain Saïss,Morocco,460.93,9.1,9.1,9.1,9.1,9.1,6,5.1,0.03,0.03,0.03,0.03,0.05,9.1,43,106
Jakub Piotr Kiwior,Poland,362.93,9.1,9.1,9.1,9.1,9.1,4,4.0,0.03,0.03,0.03,0.03,0.05,9.1,43,106
Facundo Sebastián Roncaglia,Fiorentina,1433.67,9.5,9.5,9.5,9.1,7.9,17,15.9,0.03,0.03,0.03,0.03,0.05,9.1,12,27
Leonardo Bonucci,Juventus,3235.45,9.5,9.5,9.5,7.8,9.1,36,35.9,0.03,0.03,0.03,0.03,0.05,9.08,12,27
Emiliano Moretti,Torino,3229.4,9.5,9.5,9.5,8.2,8.7,35,35.9,0.03,0.03,0.03,0.03,0.05,9.08,12,27
Denis Vavro,Slovakia,391.93,9.2,9.2,9.2,8.6,9.2,4,4.4,0.03,0.03,0.03,0.04,0.06,9.08,55,282
Arlind Afrim Ajeti,Frosinone,1223.33,9.5,9.5,9.5,8.3,8.6,16,13.6,0.03,0.03,0.03,0.03,0.05,9.08,12,27
Fabian Lukas Schär,Switzerland,485.93,9.2,9.2,9.2,8.6,9.2,5,5.4,0.03,0.03,0.03,0.04,0.06,9.08,55,282
Harry Maguire,England,448.93,9.1,9.1,9.1,9.1,9.0,5,5.0,0.03,0.03,0.03,0.03,0.05,9.08,43,106
Maurício dos Santos Nascimento,Lazio,1917.65,9.5,9.5,9.5,8.8,8.1,22,21.3,0.03,0.03,0.03,0.03,0.05,9.08,12,27
Abdülkerim Bardakcı,Turkey,372.88,9.2,9.2,9.2,8.6,9.1,4,4.1,0.03,0.03,0.03,0.04,0.06,9.06,55,282
Tim Ream,United States,383.93,9.1,9.1,9.1,9.1,8.9,4,4.3,0.03,0.03,0.03,0.03,0.05,9.06,43,106
Modibo Diakité,Frosinone,1619.63,9.5,9.5,9.5,8.0,8.8,26,18.0,0.03,0.03,0.03,0.03,0.05,9.06,12,27
