defender,team,competition_id,season_id,minutes_played,composite_score
Riccardo Gagliolo,Carpi,12,27,2135.65,9.5
Cristian Daniel Ansaldi,Genoa,12,27,895.8,9.48
Thiago Rangel Cionek,Palermo,12,27,444.92,9.44
Felipe Dias da Silva dal Belo,Udinese,12,27,2157.75,9.4
Rafael Márquez Álvarez,Hellas Verona,12,27,765.87,9.4
Davide Bertoncini,Frosinone,12,27,368.92,9.36
Iván Rodrigo Piris Leguizamón,Udinese,12,27,1690.98,9.36
Daniel Pavlovic,Frosinone,12,27,550.92,9.34
Abdelhamid El Kaoutari,Palermo,12,27,649.85,9.32
Matteo Bianchetti,Hellas Verona,12,27,1524.6,9.32
