defender,team,season_id,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,cluster_profile,relative_box_defending,relative_aerial_ability,relative_one_v_one,relative_defensive_pressure,relative_ball_progression
Abdoulaye Bamba,Angers,235,5.6,5.6,5.6,6.7,5.5,Ball-Playing Defender,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,0.9000000000000012,-0.29999999999999893
Alejandro Grimaldo García,Bayer Leverkusen,281,6.0,6.0,6.0,6.6,6.2,Ball-Playing Defender,-0.16000000000000014,-0.16000000000000014,-0.16000000000000014,0.4399999999999995,0.040000000000000036
Alistair Johnston,Canada,106,6.9,6.9,6.9,7.8,7.4,Ball-Playing Defender,-0.28000000000000114,-0.28000000000000114,-0.28000000000000114,0.6199999999999983,0.21999999999999886
Andrei Girotto,Nantes,235,6.7,6.7,6.7,7.8,7.0,Ball-Playing Defender,-0.28000000000000114,-0.28000000000000114,-0.28000000000000114,0.8199999999999985,0.019999999999998685
Anthony Caci,FSV Mainz 05,281,6.0,6.0,6.0,6.4,6.1,Ball-Playing Defender,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,0.3000000000000007,0.0
Anthony Gardner,Tottenham Hotspur,44,7.1,7.1,7.1,8.7,8.0,Ball-Playing Defender,-0.5,-0.5,-0.5,1.0999999999999996,0.40000000000000036
Anton Stach,Hoffenheim,281,6.0,6.0,6.0,6.7,6.4,Ball-Playing Defender,-0.22000000000000064,-0.22000000000000064,-0.22000000000000064,0.47999999999999954,0.17999999999999972
Arjan de Zeeuw,Portsmouth,44,7.0,7.0,7.0,7.8,6.0,Ball-Playing Defender,0.040000000000000924,0.040000000000000924,0.040000000000000924,0.8400000000000007,-0.9599999999999991
Arturo Erasmo Vidal Pardo,Barcelona,42,6.5,6.5,6.5,6.9,6.3,Ball-Playing Defender,-0.03999999999999915,-0.03999999999999915,-0.03999999999999915,0.3600000000000012,-0.23999999999999932
Benedikt Gimber,FC Heidenheim,281,5.9,5.9,5.9,6.7,5.9,Ball-Playing Defender,-0.16000000000000014,-0.16000000000000014,-0.16000000000000014,0.6399999999999997,-0.16000000000000014
Bernardo Fernandes da Silva Junior,Bochum,281,6.4,6.4,6.4,7.0,6.9,Ball-Playing Defender,-0.21999999999999975,-0.21999999999999975,-0.21999999999999975,0.3799999999999999,0.28000000000000025
Birama Touré,Auxerre,235,5.7,5.7,5.7,6.4,5.8,Ball-Playing Defender,-0.16000000000000014,-0.16000000000000014,-0.16000000000000014,0.54,-0.0600000000000005
Boubakar Kouyate,Montpellier,235,5.7,5.7,5.7,6.8,6.6,Ball-Playing Defender,-0.39999999999999947,-0.39999999999999947,-0.39999999999999947,0.7000000000000002,0.5
Brendan Chardonnet,Stade Brestois,235,5.7,5.7,5.7,6.6,5.9,Ball-Playing Defender,-0.21999999999999975,-0.21999999999999975,-0.21999999999999975,0.6799999999999997,-0.019999999999999574
Bruno González Cabrera,Real Valladolid,90,6.1,6.1,6.1,6.9,5.9,Ball-Playing Defender,-0.11999999999999922,-0.11999999999999922,-0.11999999999999922,0.6800000000000015,-0.3199999999999985
Chris Mepham,Wales,106,8.2,8.2,8.2,9.0,8.3,Ball-Playing Defender,-0.17999999999999972,-0.17999999999999972,-0.17999999999999972,0.620000000000001,-0.0799999999999983
Chris Perry,Charlton Athletic,44,5.8,5.8,5.8,6.5,5.5,Ball-Playing Defender,-0.08000000000000007,-0.08000000000000007,-0.08000000000000007,0.6200000000000001,-0.3799999999999999
Christian Groß,Werder Bremen,281,5.9,5.9,5.9,6.4,5.9,Ball-Playing Defender,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,0.40000000000000036,-0.09999999999999964
Christoph Klarer,Darmstadt 98,281,6.0,6.0,6.0,7.0,6.5,Ball-Playing Defender,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,0.7000000000000002,0.20000000000000018
