Unnamed: 0,fullback,team,minutes_played,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation,matches_played,full_match_equivalent,overlap_inversion_ci,final_third_entries_ci,defensive_performance_ci,ball_progression_ci,chance_creation_ci,composite_score,competition_id,season_id,cluster
504,Senad Lulić,Lazio,1558.77,9.3,8.6,9.0,8.9,9.3,17,17.3,0.03,0.03,0.02,0.02,0.0,9.02,12,27,0
401,Michel Morganella,Palermo,359.92,8.3,9.0,9.3,9.2,9.3,5,4.0,0.03,0.03,0.02,0.02,0.0,9.02,12,27,0
510,Silvan Widmer,Udinese,455.95,8.4,8.1,9.3,9.3,9.3,5,5.1,0.03,0.03,0.02,0.02,0.0,8.88,12,27,0
462,Patrice Evra,Juventus,762.85,9.2,8.3,9.3,9.0,8.5,9,8.5,0.03,0.03,0.02,0.02,0.0,8.86,12,27,0
413,Mohamed Salim Fares,Hellas Verona,465.92,9.3,8.5,9.3,8.6,8.6,7,5.2,0.03,0.03,0.02,0.02,0.0,8.86,12,27,0
36,Ali Adnan Kadhim Al Tameemi,Udinese,781.9,9.3,8.4,9.3,8.5,8.8,9,8.7,0.03,0.03,0.02,0.02,0.0,8.86,12,27,0
147,Diego Sebastián Laxalt Suárez,Genoa,559.9,9.1,8.7,7.9,9.3,9.2,6,6.2,0.03,0.03,0.02,0.02,0.0,8.84,12,27,0
213,Gaetano Letizia,Carpi,1645.7,8.7,8.1,9.3,8.7,9.3,18,18.3,0.03,0.03,0.02,0.02,0.0,8.82,12,27,0
255,Jacopo Sala,Hellas Verona,646.87,8.4,8.3,9.3,9.3,8.7,8,7.2,0.03,0.03,0.02,0.02,0.0,8.8,12,27,0
9,Achraf Lazaar,Palermo,1347.68,9.3,8.7,8.4,8.6,8.9,17,15.0,0.03,0.03,0.02,0.02,0.0,8.78,12,27,0
25,Alessandro Florenzi,AS Roma,2008.58,8.5,9.0,7.9,9.2,9.3,23,22.3,0.03,0.03,0.02,0.02,0.0,8.78,12,27,0
355,Maicon Douglas Sisenando,AS Roma,1003.85,8.4,9.0,8.7,8.8,9.0,14,11.2,0.03,0.03,0.02,0.02,0.0,8.78,12,27,0
244,Ignazio Abate,AC Milan,1768.72,8.5,8.6,9.3,9.2,8.3,21,19.7,0.03,0.03,0.02,0.02,0.0,8.78,12,27,0
158,Edenílson Andrade dos Santos,Udinese,367.93,8.8,9.3,7.8,8.7,9.3,4,4.1,0.03,0.03,0.02,0.02,0.0,8.78,12,27,0
529,Theo Bernard François Hernández,France,437.93,8.8,8.8,8.8,8.8,8.4,5,4.9,0.03,0.03,0.02,0.02,0.0,8.72,43,106,0
420,Mário Rui Silva Duarte,Empoli,2510.55,9.3,8.6,8.9,8.1,8.7,27,27.9,0.03,0.03,0.02,0.02,0.0,8.72,12,27,0
31,Alex Nicolao Telles,Inter Milan,1261.87,9.2,8.5,7.8,9.1,8.9,16,14.0,0.03,0.03,0.02,0.02,0.0,8.7,12,27,0
236,Héctor Junior Firpo Adames,Barcelona,771.82,8.7,8.7,8.7,8.7,8.7,11,8.6,0.03,0.04,0.02,0.03,0.0,8.7,11,42,0
182,Fabrizio Cacciatore,Chievo,1876.62,8.6,8.8,8.7,8.9,8.5,22,20.9,0.03,0.03,0.02,0.02,0.0,8.7,12,27,0
290,Joshua Kimmich,Germany,490.92,8.6,8.4,8.8,8.8,8.8,5,5.5,0.04,0.04,0.03,0.03,0.0,8.68,55,282,0
52,Andrea Rispoli,Palermo,353.43,8.4,9.2,7.2,9.3,9.3,8,3.9,0.03,0.03,0.02,0.02,0.0,8.68,12,27,0
192,Federico Peluso,Sassuolo,2546.55,9.2,9.1,7.9,9.3,7.8,28,28.3,0.03,0.03,0.02,0.02,0.0,8.66,12,27,0
582,Ştefan Daniel Radu,Lazio,929.87,9.2,9.3,7.0,9.2,8.3,11,10.3,0.03,0.03,0.02,0.02,0.0,8.6,12,27,0
445,Nélson Cabral Semedo,Barcelona,1500.9,8.6,8.6,8.6,8.6,8.6,23,16.7,0.03,0.03,0.02,0.02,0.0,8.6,11,4,0
444,Nuno Mendes,Paris Saint-Germain,1020.62,8.6,8.6,8.6,8.6,8.6,16,11.3,0.04,0.04,0.03,0.03,0.0,8.6,7,108,0
293,Josip Stanišić,Bayer Leverkusen,378.92,8.6,8.6,8.6,8.6,8.6,5,4.2,0.03,0.04,0.03,0.02,0.0,8.6,9,281,0
381,Massimo Gobbi,Chievo,2267.4,9.3,8.2,8.1,8.7,8.7,26,25.2,0.03,0.03,0.02,0.02,0.0,8.6,12,27,0
319,Kolo Habib Touré,Arsenal,566.92,8.6,8.5,8.6,8.6,8.7,7,6.3,0.03,0.03,0.02,0.02,0.0,8.6,2,44,0
505,Sergi Roberto Carnicer,Barcelona,1432.7,8.6,8.6,8.6,8.6,8.6,17,15.9,0.03,0.03,0.02,0.02,0.0,8.6,11,4,0
282,Jordi Alba Ramos,Barcelona,2573.5,8.6,8.6,8.6,8.6,8.6,30,28.6,0.03,0.03,0.02,0.02,0.0,8.6,11,4,0
8,Achraf Hakimi Mouh,Paris Saint-Germain,1390.58,8.6,8.6,8.6,8.6,8.6,17,15.5,0.04,0.04,0.03,0.03,0.0,8.6,7,108,0
72,Ashley Cole,Arsenal,1964.6,8.7,8.7,8.7,8.7,8.1,22,21.8,0.03,0.03,0.02,0.02,0.0,8.58,2,44,0
89,Boukary Dramé,Atalanta,1652.68,9.2,8.8,8.8,8.8,7.3,19,18.4,0.03,0.03,0.02,0.02,0.0,8.58,12,27,0
151,Djamel Eddine Mesbah,Sampdoria,594.85,9.2,9.3,7.6,8.6,8.2,7,6.6,0.03,0.03,0.02,0.02,0.0,8.58,12,27,0
388,Mattia De Sciglio,AC Milan,1375.77,8.9,9.0,7.7,8.7,8.6,15,15.3,0.03,0.03,0.02,0.02,0.0,8.58,12,27,0
330,Luca Antonelli,AC Milan,1790.65,9.2,8.9,8.9,8.7,7.2,21,19.9,0.03,0.03,0.02,0.02,0.0,8.58,12,27,0
302,João Pedro Cavaco Cancelo,Portugal,335.93,8.7,8.3,8.6,8.8,8.5,4,3.7,0.03,0.03,0.02,0.02,0.0,8.58,43,106,0
121,Daniel Carvajal Ramos,Spain,385.95,8.5,8.8,8.0,8.8,8.8,4,4.3,0.04,0.04,0.03,0.03,0.0,8.58,55,282,0
466,Pedro Miguel Almeida Lopes Pereira,Sampdoria,660.87,8.6,9.3,7.7,9.3,8.0,9,7.3,0.03,0.03,0.02,0.02,0.0,8.58,12,27,0
422,Nathan Aké,Netherlands,384.98,8.8,8.8,8.8,8.8,7.6,5,4.3,0.04,0.04,0.03,0.03,0.0,8.56,55,282,0
122,Daniel Pavlovic,Frosinone,1522.77,9.2,8.1,7.9,8.3,9.3,17,16.9,0.03,0.03,0.02,0.02,0.0,8.56,12,27,0
311,Jules Koundé,France,408.85,8.8,8.8,8.8,8.8,7.6,5,4.5,0.03,0.03,0.02,0.02,0.0,8.56,43,106,0
174,Eros Pisano,Hellas Verona,2279.63,8.5,7.9,8.5,8.6,9.3,25,25.3,0.03,0.03,0.02,0.02,0.0,8.56,12,27,0
54,Andrei Florin Ratiu,Romania,361.97,8.7,8.8,8.8,8.8,7.7,4,4.0,0.04,0.04,0.03,0.03,0.0,8.56,55,282,0
387,Mattia Cassani,Sampdoria,1049.52,8.5,9.2,7.9,9.3,7.9,14,11.7,0.03,0.03,0.02,0.02,0.0,8.56,12,27,0
359,Marc Cucurella Saseta,Spain,462.92,8.8,8.8,8.0,8.8,8.4,5,5.1,0.04,0.04,0.03,0.03,0.0,8.56,55,282,0
323,Laureano Bisan-Etame Mayer,Arsenal,1871.65,8.7,8.7,7.9,8.7,8.7,21,20.8,0.03,0.03,0.02,0.02,0.0,8.54,2,44,0
164,Elseid Hysaj,Napoli,2878.58,8.5,9.3,8.9,8.7,7.3,32,32.0,0.03,0.03,0.02,0.02,0.0,8.54,12,27,0
218,Gaël Clichy,Arsenal,382.92,8.7,8.7,8.7,8.7,7.9,5,4.3,0.03,0.03,0.02,0.02,0.0,8.54,2,44,0
487,Riccardo Gagliolo,Carpi,522.9,9.1,8.1,8.4,8.3,8.8,6,5.8,0.03,0.03,0.02,0.02,0.0,8.54,12,27,0
65,Antonio Rüdiger,AS Roma,470.9,8.7,9.3,9.1,8.8,6.8,5,5.2,0.03,0.03,0.02,0.02,0.0,8.54,12,27,0
447,Odilon Kossonou,Bayer Leverkusen,285.95,8.5,8.6,8.6,8.6,8.4,3,3.2,0.03,0.04,0.03,0.02,0.0,8.54,9,281,0
187,Faouzi Ghoulam,Napoli,2505.6,9.2,9.3,7.6,8.9,7.6,29,27.8,0.03,0.03,0.02,0.02,0.0,8.52,12,27,0
40,Aljaž Struna,Palermo,1016.8,8.4,8.6,7.4,9.2,9.0,12,11.3,0.03,0.03,0.02,0.02,0.0,8.52,12,27,0
351,Luke Shaw,England,346.93,8.8,8.8,7.7,8.5,8.7,4,3.9,0.03,0.03,0.02,0.02,0.0,8.5,43,106,0
549,Vasco Regini,Sampdoria,849.88,9.1,9.1,8.4,9.2,6.7,10,9.4,0.03,0.03,0.02,0.02,0.0,8.5,12,27,0
485,Ricardo Iván Rodríguez Araya,Switzerland,374.93,8.8,8.8,7.7,8.4,8.8,4,4.2,0.03,0.03,0.02,0.02,0.0,8.5,43,106,0
580,Óscar Mingueza García,Barcelona,374.93,8.6,8.6,8.6,8.6,8.1,6,4.2,0.03,0.04,0.03,0.03,0.0,8.5,11,90,0
421,Nahuel Molina Lucero,Argentina,490.82,8.8,8.8,8.1,8.8,7.9,6,5.5,0.03,0.03,0.02,0.02,0.0,8.48,43,106,0
506,Sergino Dest,Barcelona,812.63,8.6,8.6,8.6,7.9,8.6,12,9.0,0.03,0.04,0.03,0.03,0.0,8.46,11,90,0
30,Alex Ferrari,Bologna,1001.18,8.5,8.6,8.6,8.9,7.7,16,11.1,0.03,0.03,0.02,0.02,0.0,8.46,12,27,0
139,Davide Santon,Inter Milan,728.62,8.5,8.7,7.9,9.0,8.2,9,8.1,0.03,0.03,0.02,0.02,0.0,8.46,12,27,0
10,Adam Masina,Bologna,1975.57,9.2,8.3,8.2,8.3,8.3,23,22.0,0.03,0.03,0.02,0.02,0.0,8.46,12,27,0
21,Alejandro Grimaldo García,Bayer Leverkusen,546.88,8.6,8.6,7.9,8.6,8.6,6,6.1,0.03,0.04,0.03,0.02,0.0,8.46,9,281,0
51,Andrea Masiello,Atalanta,1534.68,8.4,8.3,8.8,8.7,8.0,19,17.1,0.03,0.03,0.02,0.02,0.0,8.44,12,27,0
305,Juan Bernat Velasco,Paris Saint-Germain,717.95,8.6,8.6,7.8,8.6,8.6,10,8.0,0.04,0.04,0.03,0.03,0.0,8.44,7,108,0
366,Marcos Alonso Mendoza,Fiorentina,777.77,9.3,7.7,7.6,8.5,9.1,10,8.6,0.03,0.03,0.02,0.02,0.0,8.44,12,27,0
384,Matteo Ciofani,Frosinone,910.83,8.4,8.7,7.8,9.2,8.0,13,10.1,0.03,0.03,0.02,0.02,0.0,8.42,12,27,0
137,Davide Brivio,Atalanta,748.78,9.2,8.7,7.5,9.3,7.3,9,8.3,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
110,Cristian Daniel Ansaldi,Genoa,417.93,8.9,8.4,7.3,8.8,8.6,5,4.6,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
126,Danilo D''Ambrosio,Inter Milan,1204.78,8.6,8.4,8.9,8.6,7.5,15,13.4,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
292,Josip Juranović,Croatia,424.92,8.8,8.8,7.1,8.5,8.8,4,4.7,0.03,0.03,0.02,0.02,0.0,8.4,43,106,0
212,Gabriel Moisés Antunes da Silva,Carpi,564.82,9.2,7.9,7.2,8.6,9.1,10,6.3,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
519,Stephan Lichtsteiner,Juventus,501.67,8.5,8.8,8.1,8.5,8.1,7,5.6,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
357,Manuel Pasqual,Fiorentina,561.87,9.3,8.2,8.4,7.2,8.8,7,6.2,0.03,0.03,0.02,0.02,0.0,8.38,12,27,0
571,Yuto Nagatomo,Inter Milan,1499.35,8.8,8.6,8.1,9.0,7.4,19,16.7,0.03,0.03,0.02,0.02,0.0,8.38,12,27,0
19,Aleandro Rosi,Frosinone,2004.43,8.4,8.3,7.7,8.9,8.6,23,22.3,0.03,0.03,0.02,0.02,0.0,8.38,12,27,0
221,Gianpaolo Bellini,Atalanta,870.85,8.7,9.3,7.6,9.3,7.0,13,9.7,0.03,0.03,0.02,0.02,0.0,8.38,12,27,0
241,Ibrahima Mbaye,Bologna,527.93,8.6,8.7,8.4,9.2,6.8,7,5.9,0.03,0.03,0.02,0.02,0.0,8.34,12,27,0
502,Saud Abdullah Abdul Hamid,Saudi Arabia,292.95,8.4,8.6,7.1,8.8,8.8,3,3.3,0.03,0.03,0.02,0.02,0.0,8.34,43,106,0
195,Ferdi Erenay Kadıoğlu,Turkey,375.92,8.8,7.9,8.1,7.9,8.8,4,4.2,0.04,0.04,0.03,0.03,0.0,8.3,55,282,0
583,Šime Vrsaljko,Sassuolo,2297.6,8.4,8.7,7.5,8.5,8.3,26,25.5,0.03,0.03,0.02,0.02,0.0,8.28,12,27,0
500,Samuel Souprayen,Hellas Verona,1124.6,9.3,7.8,8.0,7.8,8.5,14,12.5,0.03,0.03,0.02,0.02,0.0,8.28,12,27,0
254,Iván Rodrigo Piris Leguizamón,Udinese,570.75,8.6,8.4,9.3,7.8,7.3,7,6.3,0.03,0.03,0.02,0.02,0.0,8.28,12,27,0
427,Nenad Tomović,Fiorentina,559.9,8.5,8.6,8.8,8.5,6.9,7,6.2,0.03,0.03,0.02,0.02,0.0,8.26,12,27,0
339,Lucas Digne,AS Roma,2663.48,9.2,8.5,7.5,7.9,8.2,30,29.6,0.03,0.03,0.02,0.02,0.0,8.26,12,27,0
184,Facundo Sebastián Roncaglia,Fiorentina,1082.8,8.6,8.7,8.8,8.6,6.6,12,12.0,0.03,0.03,0.02,0.02,0.0,8.26,12,27,0
394,Maximilian Mittelstädt,Germany,313.95,8.8,8.2,7.9,7.6,8.8,4,3.5,0.04,0.04,0.03,0.03,0.0,8.26,55,282,0
308,Juan Guilherme Nunes Jesus,Inter Milan,507.93,9.2,7.8,8.0,8.5,7.7,6,5.6,0.03,0.03,0.02,0.02,0.0,8.24,12,27,0
