fullback,team,season_id,Cluster_Label,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation
Senad Lulić,Lazio,27,Defensive Specialist,9.3,8.6,9.0,8.9,9.3
Michel Morganella,Palermo,27,Complete Fullback,8.3,9.0,9.3,9.2,9.3
Silvan Widmer,Udinese,27,Defensive Specialist,8.4,8.1,9.3,9.3,9.3
Patrice Evra,Juventus,27,Complete Fullback,9.2,8.3,9.3,9.0,8.5
Mohamed Salim Fares,Hellas Verona,27,Progressive Playmaker,9.3,8.5,9.3,8.6,8.6
Ali Adnan Kadhim Al Tameemi,Udinese,27,Progressive Playmaker,9.3,8.4,9.3,8.5,8.8
Diego Sebastián Laxalt Suárez,Genoa,27,Attacking Wing-Back,9.1,8.7,7.9,9.3,9.2
Gaetano Letizia,Carpi,27,Defensive Specialist,8.7,8.1,9.3,8.7,9.3
Jacopo Sala,Hellas Verona,27,Complete Fullback,8.4,8.3,9.3,9.3,8.7
Achraf Lazaar,Palermo,27,Progressive Playmaker,9.3,8.7,8.4,8.6,8.9
Alessandro Florenzi,AS Roma,27,Attacking Wing-Back,8.5,9.0,7.9,9.2,9.3
Maicon Douglas Sisenando,AS Roma,27,Attacking Wing-Back,8.4,9.0,8.7,8.8,9.0
Ignazio Abate,AC Milan,27,Complete Fullback,8.5,8.6,9.3,9.2,8.3
Edenílson Andrade dos Santos,Udinese,27,Attacking Wing-Back,8.8,9.3,7.8,8.7,9.3
Theo Bernard François Hernández,France,106,Attacking Wing-Back,8.8,8.8,8.8,8.8,8.4
Mário Rui Silva Duarte,Empoli,27,Progressive Playmaker,9.3,8.6,8.9,8.1,8.7
Alex Nicolao Telles,Inter Milan,27,Progressive Playmaker,9.2,8.5,7.8,9.1,8.9
Héctor Junior Firpo Adames,Barcelona,42,Attacking Wing-Back,8.7,8.7,8.7,8.7,8.7
Fabrizio Cacciatore,Chievo,27,Attacking Wing-Back,8.6,8.8,8.7,8.9,8.5
Joshua Kimmich,Germany,282,Complete Fullback,8.6,8.4,8.8,8.8,8.8
Andrea Rispoli,Palermo,27,Attacking Wing-Back,8.4,9.2,7.2,9.3,9.3
