goalkeeper,team,competition_name,season_id,matches_played,minutes_played,shot_stopping,distribution,sweeping,aerial_command,composite_score
Mike Maignan,France,UEFA Euro,282,6,583.92,9.3,8.6,9.6,9.6,9.28
Wojciech Szczęsny,AS Roma,Serie A,27,34,3069.42,9.2,9.0,9.3,9.5,9.25
Samir Handanovič,Inter Milan,Serie A,27,36,3249.9,9.5,9.4,8.9,8.9,9.17
Gianluigi Buffon,Juventus,Serie A,27,35,3121.05,9.4,9.5,9.1,8.6,9.15
Federico Marchetti,Lazio,Serie A,27,29,2551.33,8.8,9.2,9.2,9.0,9.05
Andrea Consigli,Sassuolo,Serie A,27,37,3297.08,9.1,8.8,9.0,9.3,9.05
Diogo Meireles Costa,Portugal,UEFA Euro,282,5,526.87,7.8,9.6,9.2,9.5,9.02
Angelo Esmael da Costa Júnior,Bologna,Serie A,27,5,457.92,9.5,8.6,9.5,8.5,9.02
Łukasz Skorupski,Empoli,Serie A,27,31,2768.38,8.1,9.0,9.4,9.5,9.0
Eugenio Lamanna,Genoa,Serie A,27,13,1171.68,9.1,8.9,9.1,8.9,9.0
Antonio Mirante,Bologna,Serie A,27,33,2975.38,8.9,8.7,9.3,9.1,9.0
Andries Noppert,Netherlands,FIFA World Cup,106,5,498.83,9.4,9.4,8.6,8.6,9.0
José Manuel Reina Páez,Napoli,Serie A,27,37,3338.3,7.9,9.5,9.5,8.9,8.95
Yassine Bounou,Morocco,FIFA World Cup,106,6,587.88,8.7,9.1,8.6,9.4,8.95
Fehmi Mert Günok,Turkey,UEFA Euro,282,4,373.88,9.2,8.9,9.3,8.3,8.93
Mattia Perin,Genoa,Serie A,27,25,2269.45,9.2,8.6,9.0,8.9,8.92
Lukáš Hrádecký,Bayer Leverkusen,1. Bundesliga,281,33,2992.12,8.9,8.9,8.9,8.9,8.9
Norberto Murara Neto,Barcelona,La Liga,90,6,548.85,8.9,8.9,8.9,8.9,8.9
Dominik Livaković,Croatia,FIFA World Cup,106,7,700.83,8.8,9.4,8.1,9.2,8.88
Etrit Berisha,Lazio,Serie A,27,11,864.75,8.3,9.2,9.0,9.0,8.88
Emiliano Viviano,Sampdoria,Serie A,27,37,3366.27,9.2,8.6,9.1,8.6,8.88
Albano Benjamín Bizzarri,Chievo,Serie A,27,35,3204.25,9.5,8.4,8.5,9.0,8.85
Diego López Rodríguez,AC Milan,Serie A,27,8,725.85,6.9,9.5,9.5,9.5,8.85
Anton Ciprian Tătărușanu,Fiorentina,Serie A,27,37,3312.08,7.8,9.2,9.3,9.1,8.85
Matthew Charles Turner,United States,FIFA World Cup,106,4,374.88,9.4,8.9,9.1,8.0,8.85
Jan Oblak,Slovenia,UEFA Euro,282,4,399.9,9.6,8.6,8.5,8.7,8.85
Jens Lehmann,Arsenal,Premier League,44,38,3412.3,8.8,8.8,8.8,8.8,8.8
Marc-André ter Stegen,Barcelona,La Liga,4,32,2861.45,8.8,8.8,8.8,8.8,8.8
Kasper Schmeichel,Denmark,UEFA Euro,282,4,362.92,9.0,9.5,8.2,8.4,8.78
Marco Sportiello,Atalanta,Serie A,27,36,3262.12,9.1,8.6,8.8,8.6,8.78
Koen Casteels,Belgium,UEFA Euro,282,4,370.92,9.6,8.9,9.4,7.2,8.78
Manuel Neuer,Germany,UEFA Euro,282,5,482.8,7.8,9.6,9.2,8.5,8.77
Pierluigi Gollini,Hellas Verona,Serie A,27,26,2345.38,8.5,8.4,9.2,8.9,8.75
Stefano Sorrentino,Palermo,Serie A,27,35,3129.13,8.5,8.6,8.6,9.3,8.75
Unai Simón Mendibil,Spain,UEFA Euro,282,6,575.88,8.6,8.7,9.5,8.2,8.75
Mathew Ryan,Australia,FIFA World Cup,106,4,369.93,8.2,8.9,9.4,8.5,8.75
Nicola Leali,Frosinone,Serie A,27,33,3003.23,8.6,8.4,9.1,8.9,8.75
Bart Verbruggen,Netherlands,UEFA Euro,282,6,554.87,8.5,9.2,8.3,9.0,8.75
Daniele Padelli,Torino,Serie A,27,35,3185.33,7.8,9.1,8.8,9.2,8.72
Jordan Pickford,England,UEFA Euro,282,7,708.9,8.6,8.8,8.7,8.8,8.72
Patrick Pentz,Austria,UEFA Euro,282,4,372.92,7.4,9.5,9.4,8.5,8.7
Gianluigi Donnarumma,Paris Saint-Germain,Ligue 1,235,32,2783.47,8.7,8.7,8.7,8.7,8.7
Keylor Navas Gamboa,Paris Saint-Germain,Ligue 1,108,13,1130.72,8.7,8.7,8.7,8.7,8.7
Alberto Pelagotti,Empoli,Serie A,27,6,516.92,9.5,9.0,8.8,7.4,8.68
Yann Sommer,Switzerland,UEFA Euro,282,5,490.83,7.8,9.4,8.8,8.5,8.62
Rafael de Andrade Bittencourt Pinheiro,Hellas Verona,Serie A,27,12,995.68,7.9,8.5,8.6,9.5,8.62
Martin Dúbravka,Slovakia,UEFA Euro,282,4,394.92,7.4,7.7,9.6,9.6,8.58
Morgan De Sanctis,AS Roma,Serie A,27,4,343.95,6.9,8.4,9.5,9.5,8.57
Vid Belec,Carpi,Serie A,27,30,2681.17,8.3,7.8,8.7,9.3,8.52
Orestis Karnezis,Udinese,Serie A,27,38,3405.27,8.4,8.3,8.5,8.8,8.5
Seung-Gyu Kim,South Korea,FIFA World Cup,106,4,380.93,7.6,9.0,8.5,8.7,8.45
Florin Constantin Niţă,Romania,UEFA Euro,282,4,374.92,7.9,8.1,8.7,9.1,8.45
Damián Emiliano Martínez,Argentina,FIFA World Cup,106,7,709.8,8.2,8.6,8.2,8.5,8.38
Edouard Mendy,Senegal,FIFA World Cup,106,4,371.88,6.5,9.3,9.4,8.2,8.35
Shūichi Gonda,Japan,FIFA World Cup,106,4,388.82,7.5,8.2,8.3,9.4,8.35
Hugo Lloris,France,FIFA World Cup,106,6,596.87,8.1,8.5,8.3,8.4,8.33
Giorgi Mamardashvili,Georgia,UEFA Euro,282,4,372.87,8.3,7.7,8.2,9.0,8.3
Željko Brkić,Carpi,Serie A,27,4,318.9,7.7,7.4,8.6,9.1,8.2
Gregor Kobel,Borussia Dortmund,1. Bundesliga,281,2,191.93,8.9,8.4,6.9,8.5,8.18
Noah Atubolu,Freiburg,1. Bundesliga,281,2,187.93,7.3,8.6,7.9,8.9,8.17
Alisson Ramsés Becker,Brazil,FIFA World Cup,106,4,388.93,5.7,8.5,8.9,9.4,8.12
Mohammed Khalil Al Owais,Saudi Arabia,FIFA World Cup,106,3,290.95,7.8,7.3,9.1,8.2,8.1
Edwin van der Sar,Fulham,Premier League,44,2,181.95,8.8,7.7,8.6,7.2,8.08
Alexander Nübel,VfB Stuttgart,1. Bundesliga,281,2,190.97,7.8,8.0,8.0,8.5,8.07
Jussi Jääskeläinen,Bolton Wanderers,Premier League,44,2,181.95,6.4,8.0,8.8,8.8,8.0
Shay Given,Newcastle United,Premier League,44,2,178.98,7.5,8.4,8.2,7.8,7.98
Massimo Zenildo Zappino,Frosinone,Serie A,27,4,320.93,6.5,8.2,8.7,8.5,7.98
Aymen Dahmen,Tunisia,FIFA World Cup,106,3,291.92,8.4,7.8,7.4,8.1,7.93
Anthony Lopes,Lyon,Ligue 1,235,2,182.93,8.6,8.3,6.7,8.0,7.9
Francisco Guillermo Ochoa Magaña,Mexico,FIFA World Cup,106,3,283.92,7.2,8.3,7.4,8.6,7.88
Marco Bizot,Stade Brestois,Ligue 1,235,2,186.97,8.1,7.6,8.2,7.5,7.85
Gerónimo Rulli,Real Sociedad,La Liga,4,2,180.97,6.2,7.8,8.6,8.8,7.85
Jasper Cillessen,Barcelona,La Liga,4,2,184.97,6.8,8.8,7.9,7.6,7.78
Pau López Sabata,Real Betis,La Liga,4,2,182.95,7.8,8.4,7.4,7.5,7.78
Andrea Seculin,Chievo,Serie A,27,3,273.92,9.0,7.1,7.3,7.6,7.75
Paul Bernardoni,Angers,Ligue 1,235,2,173.97,6.3,7.2,8.7,8.7,7.72
Steve Mandanda,Rennes,Ligue 1,235,2,187.95,8.7,7.7,7.5,6.9,7.7
Iván Cuéllar Sacristán,Leganés,La Liga,42,2,188.93,6.4,7.7,8.9,7.8,7.7
Rui Tiago Dantas da Silva,Granada,La Liga,42,2,179.97,8.9,7.5,7.0,7.2,7.65
Sergio Asenjo Andrés,Villarreal,La Liga,4,2,182.95,6.2,8.4,8.8,7.2,7.65
Alejandro Remiro Gargallo,Real Sociedad,La Liga,42,2,187.93,7.9,8.9,7.2,6.5,7.62
Sergio Rochet Álvarez,Uruguay,FIFA World Cup,106,3,287.95,6.8,7.6,8.2,7.8,7.6
Janis Blaswich,RB Leipzig,1. Bundesliga,281,2,189.97,5.2,8.9,8.8,7.5,7.6
Kasey Keller,Tottenham Hotspur,Premier League,44,2,179.95,7.1,8.4,8.1,6.8,7.6
Ian Walker,Leicester City,Premier League,44,2,168.97,7.3,8.4,7.8,6.7,7.55
Predrag Rajković,Serbia,UEFA Euro,282,3,264.97,7.6,7.1,7.5,8.0,7.55
Vanja Milinković Savić,Serbia,FIFA World Cup,106,3,290.95,7.0,7.8,7.7,7.7,7.55
Oliver Baumann,Hoffenheim,1. Bundesliga,281,2,191.95,7.0,8.7,6.6,7.9,7.55
Fernando Pacheco Flores,Deportivo Alavés,La Liga,4,2,179.97,8.1,7.3,7.6,7.1,7.52
Thibaut Courtois,Belgium,FIFA World Cup,106,3,268.97,7.9,8.3,7.8,6.0,7.5
Péter Gulácsi,Hungary,UEFA Euro,282,3,277.9,5.6,7.7,8.2,8.5,7.5
Angus Gunn,Scotland,UEFA Euro,282,3,278.9,6.6,6.9,8.8,7.6,7.48
Francesco Benussi,Carpi,Serie A,27,4,293.85,7.5,7.4,7.3,7.7,7.48
Salvador Ichazo Fernández,Torino,Serie A,27,3,273.93,6.7,7.9,7.6,7.5,7.43
Walter Daniel Benítez,OGC Nice,Ligue 1,108,2,179.92,8.5,6.6,7.0,7.6,7.43
Brad Friedel,Blackburn Rovers,Premier League,44,2,179.95,7.5,7.7,7.6,6.9,7.42
Shaka Hislop,Portsmouth,Premier League,44,2,173.98,8.8,7.0,7.3,6.5,7.4
Dean Kiely,Charlton Athletic,Premier League,44,2,180.95,6.8,8.8,7.1,6.7,7.35
Thomas Løvendahl Sørensen,Aston Villa,Premier League,44,2,180.93,7.0,8.3,7.3,6.7,7.32
Jordi Masip López,Real Valladolid,La Liga,42,2,183.97,6.9,7.1,7.2,8.1,7.32
Jerzy Dudek,Liverpool,Premier League,44,2,178.97,6.0,8.5,7.1,7.4,7.25
Alban Lafont,Nantes,Ligue 1,108,2,183.93,7.7,6.5,7.0,7.7,7.22
Antti Mikko Niemi,Southampton,Premier League,44,2,180.88,6.5,7.0,7.8,7.6,7.22
Frederik Rønnow,Union Berlin,1. Bundesliga,281,2,181.97,7.3,7.8,6.8,7.0,7.22
Rubén Blanco Veiga,Celta Vigo,La Liga,42,2,172.98,5.4,7.8,6.8,8.9,7.22
Kevin Trapp,Eintracht Frankfurt,1. Bundesliga,281,2,184.97,5.5,8.2,7.2,7.9,7.2
Jean-Louis Leca,Lens,Ligue 1,108,2,185.93,8.4,6.6,7.2,6.5,7.18
Michael Zetterer,Werder Bremen,1. Bundesliga,281,2,180.98,5.2,8.4,7.1,8.0,7.18
Thomas Strakosha,Albania,UEFA Euro,282,3,283.85,7.0,7.4,7.1,7.2,7.18
Lawrence Ati-Zigi,Ghana,FIFA World Cup,106,3,295.85,5.8,7.9,7.6,7.4,7.17
Maxime Dupé,Toulouse,Ligue 1,235,2,181.92,6.8,7.7,7.3,6.7,7.12
Kevin Müller,FC Heidenheim,1. Bundesliga,281,2,184.95,6.1,7.7,7.1,7.5,7.1
Manuel Riemann,Bochum,1. Bundesliga,281,2,187.95,6.1,7.3,8.9,6.1,7.1
David Soria Solís,Getafe,La Liga,90,2,185.95,6.7,5.9,7.0,8.7,7.08
Aitor Fernández Abarisketa,Levante UD,La Liga,90,2,188.97,7.2,6.6,7.8,6.7,7.08
Milan Borjan,Canada,FIFA World Cup,106,3,281.85,5.1,7.9,7.8,7.5,7.08
Marvin Schwäbe,FC Köln,1. Bundesliga,281,2,183.97,6.3,7.9,7.1,6.9,7.05
Mark Schwarzer,Middlesbrough,Premier League,44,2,177.95,5.9,7.9,7.1,7.3,7.05
Marko Dmitrović,Eibar,La Liga,42,2,170.97,5.6,7.6,7.7,7.2,7.02
Iván Villar Martínez,Celta Vigo,La Liga,90,2,185.95,6.8,6.3,6.6,8.4,7.02
Marcel Schuhen,Darmstadt 98,1. Bundesliga,281,2,185.95,6.3,7.7,7.3,6.5,6.95
Jeremías Ledesma,Cádiz,La Liga,90,2,183.95,8.1,5.3,6.7,7.5,6.9
Paul Robinson,Leeds United,Premier League,44,2,175.97,5.4,8.3,7.9,5.9,6.88
Robin Zentner,FSV Mainz 05,1. Bundesliga,281,2,175.97,5.1,7.0,7.4,7.8,6.82
Manuel Reina Rodríguez,Mallorca,La Liga,42,2,187.95,5.9,8.1,7.1,6.1,6.8
