goalkeeper,team,season_id,cluster_profile,shot_stopping,distribution,sweeping,aerial_command
Mike Maignan,France,282,Sweeper-Keeper,9.3,8.6,9.6,9.6
Wojciech Szczęsny,AS Roma,27,Sweeper-Keeper,9.2,9.0,9.3,9.5
Samir Handanovič,Inter Milan,27,Ball-Playing,9.5,9.4,8.9,8.9
Gianluigi Buffon,Juventus,27,Shot-Stopper,9.4,9.5,9.1,8.6
Federico Marchetti,Lazio,27,Sweeper-Keeper,8.8,9.2,9.2,9.0
Andrea Consigli,Sassuolo,27,Sweeper-Keeper,9.1,8.8,9.0,9.3
Diogo Meireles Costa,Portugal,282,Complete,7.8,9.6,9.2,9.5
Angelo Esmael da Costa Júnior,Bologna,27,Ball-Playing,9.5,8.6,9.5,8.5
Łukasz Skorupski,Empoli,27,Complete,8.1,9.0,9.4,9.5
Eugenio Lamanna,Genoa,27,Sweeper-Keeper,9.1,8.9,9.1,8.9
Antonio Mirante,Bologna,27,Sweeper-Keeper,8.9,8.7,9.3,9.1
Andries Noppert,Netherlands,106,Ball-Playing,9.4,9.4,8.6,8.6
José Manuel Reina Páez,Napoli,27,Complete,7.9,9.5,9.5,8.9
Yassine Bounou,Morocco,106,Sweeper-Keeper,8.7,9.1,8.6,9.4
Fehmi Mert Günok,Turkey,282,Ball-Playing,9.2,8.9,9.3,8.3
Mattia Perin,Genoa,27,Sweeper-Keeper,9.2,8.6,9.0,8.9
Lukáš Hrádecký,Bayer Leverkusen,281,Sweeper-Keeper,8.9,8.9,8.9,8.9
Norberto Murara Neto,Barcelona,90,Sweeper-Keeper,8.9,8.9,8.9,8.9
Dominik Livaković,Croatia,106,Sweeper-Keeper,8.8,9.4,8.1,9.2
Etrit Berisha,Lazio,27,Sweeper-Keeper,8.3,9.2,9.0,9.0
Emiliano Viviano,Sampdoria,27,Ball-Playing,9.2,8.6,9.1,8.6
Albano Benjamín Bizzarri,Chievo,27,Ball-Playing,9.5,8.4,8.5,9.0
Diego López Rodríguez,AC Milan,27,Complete,6.9,9.5,9.5,9.5
Anton Ciprian Tătărușanu,Fiorentina,27,Complete,7.8,9.2,9.3,9.1
Matthew Charles Turner,United States,106,Ball-Playing,9.4,8.9,9.1,8.0
Jan Oblak,Slovenia,282,Ball-Playing,9.6,8.6,8.5,8.7
Jens Lehmann,Arsenal,44,Sweeper-Keeper,8.8,8.8,8.8,8.8
Marc-André ter Stegen,Barcelona,4,Sweeper-Keeper,8.8,8.8,8.8,8.8
Kasper Schmeichel,Denmark,282,Shot-Stopper,9.0,9.5,8.2,8.4
Marco Sportiello,Atalanta,27,Ball-Playing,9.1,8.6,8.8,8.6
Koen Casteels,Belgium,282,Ball-Playing,9.6,8.9,9.4,7.2
Manuel Neuer,Germany,282,Shot-Stopper,7.8,9.6,9.2,8.5
