midfielder,minutes_played,pass_control,ball_progression,defensive_contribution,creative_output,matches_played,team,competition_id,season_id,avg_minutes_per_match,full_match_equivalent,composite_score
Faride Alidou,81,7.44,9.93,9.81,9.82,1,FC Köln,9,281,81.0,0.9,9.25
Jamal Musiala,269,8.69,9.17,9.09,9.66,3,Germany,43,106,89.7,3.0,9.1525
Roberto Maximiliano Pereyra,729,9.93,8.31,8.22,9.4,12,Juventus,12,27,60.8,8.1,8.965
Tajon Buchanan,265,8.63,9.54,8.87,8.79,3,Canada,43,106,88.3,2.9,8.9575
Juan Guillermo Cuadrado Bello,590,8.8,8.25,9.54,9.18,9,Juventus,12,27,65.6,6.6,8.942499999999999
Daniele Baselli,2274,8.62,8.62,9.08,9.4,35,Torino,12,27,65.0,25.3,8.93
Alejandro Darío Gómez,1073,7.01,9.56,9.23,9.65,13,Atalanta,12,27,82.5,11.9,8.8625
Urby Emanuelson,404,8.56,9.66,7.81,9.42,8,Hellas Verona,12,27,50.5,4.5,8.862499999999999
Franco Damián Vázquez,2255,8.84,9.25,8.71,8.36,25,Palermo,12,27,90.2,25.1,8.79
Robert Pirès,2760,9.09,9.01,8.28,8.7,35,Arsenal,2,44,78.9,30.7,8.77
Daniel Olmo Carvajal,432,8.99,7.5,8.88,9.58,6,Spain,55,282,72.0,4.8,8.7375
Aleksandar Trajkovski,855,8.75,9.2,7.42,9.56,16,Palermo,12,27,53.4,9.5,8.7325
Stephan El Shaarawy,324,9.09,9.0,9.55,7.13,4,AS Roma,12,27,81.0,3.6,8.6925
Roland Sallai,283,9.33,9.1,7.18,9.13,3,Hungary,55,282,94.3,3.1,8.685
Anderson Hernanes de Carvalho Andrade,929,9.51,7.52,8.12,9.39,16,Inter Milan,12,27,58.1,10.3,8.635
Sada Thioub,24,7.44,9.08,9.99,7.95,1,Saint-Étienne,7,108,24.0,0.3,8.615
Xavi Simons,400,8.91,8.89,7.49,9.14,5,Netherlands,55,282,80.0,4.4,8.6075
Federico Santiago Valverde Dipetta,291,9.3,9.36,8.9,6.85,3,Uruguay,43,106,97.0,3.2,8.602500000000001
Giacomo Bonaventura,2613,8.68,8.98,8.09,8.56,30,AC Milan,12,27,87.1,29.0,8.5775
Diego Perotti,1697,8.23,9.34,7.53,9.12,21,Genoa,12,27,80.8,18.9,8.555
Cody Mathès Gakpo,296,7.49,9.49,7.3,9.79,3,Netherlands,43,106,98.7,3.3,8.5175
Neymar da Silva Santos Junior,984,9.02,7.42,8.79,8.72,12,Paris Saint-Germain,7,235,82.0,10.9,8.487499999999999
Afriyie Acquah,1905,7.83,9.73,7.44,8.79,29,Torino,12,27,65.7,21.2,8.447500000000002
Senad Lulić,897,7.38,9.43,8.0,8.97,12,Lazio,12,27,74.8,10.0,8.445
Luca Siligardi,1083,7.73,9.21,7.83,9.01,20,Hellas Verona,12,27,54.2,12.0,8.445
Florian Wirtz,1984,9.36,7.67,8.61,8.12,27,Bayer Leverkusen,9,281,73.5,22.0,8.44
Felipe Anderson Pereira Gomes,814,8.11,9.47,9.03,7.14,11,Lazio,12,27,74.0,9.0,8.4375
Georgiy Sudakov,262,9.56,7.3,8.53,8.15,3,Ukraine,55,282,87.3,2.9,8.385
Lionel Andrés Messi Cuccittini,1166,9.18,6.18,9.51,8.53,13,Paris Saint-Germain,7,235,89.7,13.0,8.35
Alphonso Davies,277,7.61,8.34,9.14,8.29,3,Canada,43,106,92.3,3.1,8.344999999999999
