midfielder,team,season_id,pass_control,ball_progression,defensive_contribution,creative_output,cluster_profile,relative_pass_control,relative_ball_progression,relative_defensive_contribution,relative_creative_output
Aaron Mooy,Australia,106,8.99,5.07,8.44,4.24,Advanced Playmaker,2.3049999999999997,-1.6150000000000002,1.754999999999999,-2.4450000000000003
Aaron Ramsey,Wales,106,9.43,3.0,7.14,5.12,Advanced Playmaker,3.2574999999999994,-3.1725000000000003,0.9674999999999994,-1.0525000000000002
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,106,6.2,1.78,3.85,2.07,Advanced Playmaker,2.725,-1.695,0.375,-1.4050000000000002
Adam Gnezda Čerin,Slovenia,282,8.78,5.45,6.33,5.35,Advanced Playmaker,2.3024999999999984,-1.0275000000000007,-0.14750000000000085,-1.1275000000000013
Adrien Hunou,Angers,235,5.07,5.26,1.63,2.07,Advanced Playmaker,1.5625,1.7524999999999995,-1.8775000000000004,-1.4375000000000004
Adrien Rabiot,France,106,9.71,5.41,5.5,4.22,Advanced Playmaker,3.500000000000001,-0.7999999999999998,-0.71,-1.9900000000000002
Ahmad Nourollahi,Iran,106,7.89,7.01,5.84,2.07,Advanced Playmaker,2.1875,1.3075,0.13750000000000018,-3.6325
Alan Steven Franco Palma,Ecuador,106,1.83,0.85,1.7,2.07,Advanced Playmaker,0.21750000000000025,-0.7624999999999998,0.08750000000000013,0.4575
Alberto Facundo Costa,Genoa,27,9.04,3.91,6.48,6.08,Advanced Playmaker,2.6624999999999996,-2.4674999999999994,0.10250000000000092,-0.29749999999999943
Alberto Grassi,Atalanta,27,8.88,5.99,4.87,6.83,Advanced Playmaker,2.2375000000000007,-0.6524999999999999,-1.7725,0.1875
Alberto Soro Álvarez,Granada,90,5.9,0.85,5.26,2.07,Advanced Playmaker,2.3800000000000003,-2.67,1.7399999999999998,-1.4500000000000002
Aleix Febas Pérez,Mallorca,42,6.39,3.04,3.87,6.24,Advanced Playmaker,1.505,-1.8449999999999998,-1.0149999999999997,1.3550000000000004
Aleix García Serrano,Girona,4,7.19,3.19,3.65,2.07,Advanced Playmaker,3.165,-0.8350000000000004,-0.37500000000000044,-1.9550000000000005
Alejandro Grimaldo García,Bayer Leverkusen,281,8.59,4.65,8.35,8.68,Advanced Playmaker,1.0225,-2.9174999999999995,0.7824999999999998,1.1124999999999998
Alessandro Florenzi,AS Roma,27,8.92,7.39,7.28,6.64,Advanced Playmaker,1.3624999999999998,-0.16750000000000043,-0.27749999999999986,-0.9175000000000004
Alessandro Gazzi,Torino,27,9.58,5.07,6.18,8.69,Advanced Playmaker,2.200000000000001,-2.3099999999999987,-1.1999999999999993,1.3100000000000005
Alexis Beka Beka,OGC Nice,235,6.66,0.85,0.52,2.07,Advanced Playmaker,4.135,-1.6749999999999998,-2.005,-0.45500000000000007
Alexis Mac Allister,Argentina,106,9.75,6.89,7.11,7.57,Advanced Playmaker,1.92,-0.9400000000000004,-0.7199999999999998,-0.2599999999999998
Alfa Semedo Esteves,Espanyol,4,5.25,0.85,3.92,2.07,Advanced Playmaker,2.2275,-2.1725,0.8975,-0.9525000000000001
