player,minutes_played,finishing,early_shots,linkup_play,carrying,work_rate,back_to_goal,headed_duels,matches_played,avg_minutes_per_match,competition_id,season_id
Teddy Sheringham,91,10.0,9.94,7.18,1.35,3.65,8.65,10.0,1,91.0,2,44
Daniel Olmo Carvajal,93,10.0,10.0,5.92,5.66,8.95,2.11,9.87,1,93.0,9,281
Georges Mikautadze,350,10.0,10.0,9.78,9.89,9.68,7.1,4.3,4,87.5,55,282
Gonzalo Gerardo Higuaín,2999,10.0,9.16,9.23,7.48,6.71,5.87,8.45,35,85.69,12,27
Ludovic Blas,93,10.0,9.92,7.81,6.09,6.41,8.75,4.53,1,93.0,7,235
Omar El Kaddouri,4,9.94,10.0,0.45,0.32,0.84,0.42,3.19,1,4.0,12,27
Mohamed Salah,790,9.87,9.55,9.94,8.65,9.94,6.84,6.84,9,87.78,12,27
Lionel Andrés Messi Cuccittini,2311,9.87,9.22,9.87,9.74,9.09,7.27,8.96,26,88.88,11,90
Enner Remberto Valencia Lastra,258,9.85,9.77,9.77,8.2,8.87,6.47,9.32,3,86.0,43,106
Krzysztof Piątek,59,9.84,9.78,4.41,2.26,8.71,1.83,4.3,1,59.0,55,282
Mama Samba Baldé,89,9.84,8.44,7.03,8.44,4.84,6.72,4.53,1,89.0,7,235
Ike Ugbo,75,9.84,10.0,4.05,4.44,7.3,1.11,4.52,1,75.0,7,108
Jesús Joaquín Fernández Sáez de la Torre,459,9.81,9.48,7.87,7.61,6.39,8.97,3.19,7,65.57,12,27
Jaime Mata Arnaiz,91,9.81,8.97,4.74,4.17,9.49,2.63,4.62,1,91.0,11,4
André Ayew Pelé,76,9.77,9.17,2.67,2.52,4.21,3.31,4.1,1,76.0,43,106
Ante Budimir,165,9.75,9.87,6.08,8.48,4.18,9.49,9.43,2,82.5,11,42
Ikoma Loïs Openda,165,9.74,9.74,1.32,7.5,9.87,1.58,8.68,2,82.5,9,281
Eiður Smári Guðjohnsen,59,9.71,9.53,4.29,5.53,6.24,5.18,4.65,1,59.0,2,44
Tomasz Radziński,92,9.71,9.18,3.76,4.24,4.35,9.24,4.65,1,92.0,2,44
Grejohn Kyei,83,9.69,9.45,4.22,6.25,6.56,5.47,4.53,1,83.0,7,235
Luka Jović,62,9.68,9.46,5.48,6.13,1.83,2.9,9.73,2,31.0,55,282
Jakub Błaszczykowski,34,9.68,9.9,2.06,2.23,2.26,2.16,3.19,1,34.0,12,27
Stephan El Shaarawy,152,9.68,9.61,5.1,2.13,3.42,3.1,3.19,2,76.0,12,27
Anthony Mounier,93,9.68,9.9,2.77,2.52,3.23,3.03,3.19,1,93.0,12,27
Randal Kolo Muani,184,9.68,9.68,5.71,5.08,5.56,5.08,9.52,2,92.0,7,108
Álvaro Giménez Candela,61,9.68,9.35,2.21,5.58,6.75,4.55,4.35,1,61.0,11,90
Cody Mathès Gakpo,456,9.62,10.0,8.95,9.62,9.17,7.22,9.21,5,91.2,43,106
Cristhian Ricardo Stuani Curbelo,184,9.62,9.87,1.92,3.85,8.72,3.85,4.62,2,92.0,11,4
Victor Okoh Boniface,1499,9.61,9.47,9.08,10.0,8.42,8.42,8.55,22,68.14,9,281
Adam Buksa,153,9.57,8.39,3.87,3.71,3.44,1.08,9.73,2,76.5,55,282
Mauro Emanuel Icardi Rivero,2612,9.55,9.42,6.26,6.19,6.32,6.9,7.94,33,79.15,12,27
Richarlison de Andrade,325,9.55,9.02,8.46,8.8,9.55,6.99,4.1,4,81.25,43,106
Thierry Henry,3368,9.53,9.29,8.71,10.0,9.29,7.06,9.53,37,91.03,2,44
Kevin Volland,24,9.53,9.92,5.78,6.8,2.34,9.84,4.53,1,24.0,7,235
José Manuel Arnáiz Díaz,70,9.49,9.3,0.51,8.29,5.06,2.09,4.37,1,70.0,11,42
Fyodor Smolov,60,9.49,9.62,2.41,9.11,7.59,0.51,4.37,1,60.0,11,42
Dries Mertens,198,9.48,7.1,5.23,3.81,4.77,3.42,9.94,3,66.0,12,27
Mehdi Taremi,299,9.47,8.87,9.1,10.0,9.02,9.02,4.1,3,99.67,43,106
Niclas Füllkrug,189,9.47,8.82,6.97,7.37,7.63,7.63,4.21,2,94.5,9,281
Khvicha Kvaratskhelia,265,9.46,8.06,9.68,10.0,9.89,1.4,4.3,3,88.33,55,282
Carlos Arturo Bacca Ahumada,3174,9.42,9.35,8.0,7.35,8.52,6.06,7.87,38,83.53,12,27
Julián Álvarez,428,9.4,9.25,7.37,9.85,7.29,7.52,4.1,6,71.33,43,106
Kylian Mbappé Lottin,2221,9.38,9.06,9.69,10.0,8.12,7.5,4.53,26,85.42,7,235
Cenk Tosun,28,9.35,9.78,0.7,1.4,0.86,4.78,4.3,2,14.0,55,282
Ioan Viorel Ganea,91,9.35,9.0,8.82,7.06,5.65,2.29,4.65,1,91.0,2,44
Harry Kewell,91,9.35,8.82,7.65,7.65,7.88,9.06,4.65,1,91.0,2,44
Leonardo Pavoletti,1933,9.35,8.52,4.65,6.26,5.16,9.74,9.29,25,77.32,12,27
Eder Citadin Martins,1666,9.29,8.97,9.35,8.9,9.35,9.42,8.13,23,72.43,12,27
Terem Igobor Moffi,167,9.29,9.52,7.3,3.81,9.68,4.29,4.52,2,83.5,7,108
Osman Bukari,19,9.29,9.7,6.92,2.52,9.77,3.87,10.0,1,19.0,43,106
Andy Delort,117,9.29,8.89,3.33,6.11,3.65,3.65,9.37,2,58.5,7,108
Arnaldo Antonio Sanabria Ayala,70,9.29,9.09,1.49,3.51,9.74,2.34,4.35,1,70.0,11,90
Santiago Mina Lorenzo,120,9.29,8.25,2.47,2.73,3.9,2.73,4.35,2,60.0,11,90
Deniz Undav,156,9.28,8.95,9.47,4.87,4.08,6.18,9.28,2,78.0,9,281
Florian Wirtz,270,9.28,9.87,10.0,9.87,7.89,9.21,4.21,3,90.0,9,281
Gervais Lombe Yao Kouassi,539,9.23,8.39,10.0,9.68,9.81,3.48,8.97,6,89.83,12,27
Joaquín Sánchez Rodríguez,58,9.23,8.78,8.4,5.32,4.74,2.05,4.62,1,58.0,11,4
Sergio Canales Madrazo,33,9.23,9.49,3.46,3.4,1.15,3.33,4.62,1,33.0,11,4
