player,season_id,minutes_played,cluster,Cluster Label
Teddy Sheringham,44,91,0,Poacher
Daniel Olmo Carvajal,281,93,0,Poacher
Georges Mikautadze,282,350,3,Advanced Forward
Gonzalo Gerardo Higuaín,27,2999,0,Poacher
Ludovic Blas,235,93,0,Poacher
Omar El Kaddouri,27,4,0,Poacher
Mohamed Salah,27,790,3,Advanced Forward
Lionel Andrés Messi Cuccittini,90,2311,3,Advanced Forward
Enner Remberto Valencia Lastra,106,258,0,Poacher
Krzysztof Piątek,282,59,0,Poacher
Mama Samba Baldé,235,89,0,Poacher
Ike Ugbo,108,75,0,Poacher
Jesús Joaquín Fernández Sáez de la Torre,27,459,0,Poacher
Jaime Mata Arnaiz,4,91,0,Poacher
André Ayew Pelé,106,76,0,Poacher
Ante Budimir,42,165,0,Poacher
Ikoma Loïs Openda,281,165,0,Poacher
Eiður Smári Guðjohnsen,44,59,0,Poacher
Tomasz Radziński,44,92,0,Poacher
Grejohn Kyei,235,83,0,Poacher
Luka Jović,282,62,0,Poacher
Jakub Błaszczykowski,27,34,0,Poacher
Stephan El Shaarawy,27,152,0,Poacher
Anthony Mounier,27,93,0,Poacher
Randal Kolo Muani,108,184,0,Poacher
Álvaro Giménez Candela,90,61,0,Poacher
Cody Mathès Gakpo,106,456,0,Poacher
Cristhian Ricardo Stuani Curbelo,4,184,0,Poacher
Victor Okoh Boniface,281,1499,0,Poacher
Adam Buksa,282,153,0,Poacher
Mauro Emanuel Icardi Rivero,27,2612,0,Poacher
Richarlison de Andrade,106,325,3,Advanced Forward
Thierry Henry,44,3368,0,Poacher
Kevin Volland,235,24,0,Poacher
José Manuel Arnáiz Díaz,42,70,0,Poacher
Fyodor Smolov,42,60,0,Poacher
Dries Mertens,27,198,0,Poacher
Mehdi Taremi,106,299,3,Advanced Forward
Niclas Füllkrug,281,189,0,Poacher
Khvicha Kvaratskhelia,282,265,3,Advanced Forward
Carlos Arturo Bacca Ahumada,27,3174,0,Poacher
Julián Álvarez,106,428,2,Complete Forward
Kylian Mbappé Lottin,235,2221,3,Advanced Forward
Cenk Tosun,282,28,0,Poacher
Ioan Viorel Ganea,44,91,0,Poacher
Harry Kewell,44,91,0,Poacher
Leonardo Pavoletti,27,1933,0,Poacher
Eder Citadin Martins,27,1666,3,Advanced Forward
Terem Igobor Moffi,108,167,0,Poacher
Osman Bukari,106,19,0,Poacher
Andy Delort,108,117,0,Poacher
Arnaldo Antonio Sanabria Ayala,90,70,0,Poacher
Santiago Mina Lorenzo,90,120,0,Poacher
Deniz Undav,281,156,0,Poacher
Florian Wirtz,281,270,3,Advanced Forward
Gervais Lombe Yao Kouassi,27,539,3,Advanced Forward
Joaquín Sánchez Rodríguez,4,58,0,Poacher
Sergio Canales Madrazo,4,33,0,Poacher
Hernán Jorge Crespo,44,90,0,Poacher
Mario Mandžukić,27,2057,0,Poacher
Bradley Barcola,235,71,0,Poacher
Breel-Donald Embolo,106,328,3,Advanced Forward
Paulo Bruno Exequiel Dybala,27,2408,3,Advanced Forward
Oscar Vilhelmsson,281,124,0,Poacher
Robbie Keane,44,189,0,Poacher
Gaëtan Laborde,108,175,0,Poacher
Harry Kane,282,601,0,Poacher
Roberto Soriano,27,185,0,Poacher
Olivier Giroud,106,472,1,Target Man
Adem Ljajić,27,310,3,Advanced Forward
Patrik Schick,281,1053,0,Poacher
Arda Güler,282,251,3,Advanced Forward
Luca Paganini,27,99,0,Poacher
Paul Dickov,44,111,0,Poacher
Paolo Di Canio,44,138,0,Poacher
Aleksandar Mitrović,106,266,0,Poacher
Diego da Silva Costa,4,106,0,Poacher
Duván Esteban Zapata Banguera,27,1548,0,Poacher
Ousmane Dembélé,90,429,3,Advanced Forward
Folarin Balogun,235,95,0,Poacher
Branco van den Boomen,235,92,1,Target Man
Borja Mayoral Moya,42,126,0,Poacher
Alphonso Davies,106,277,0,Poacher
Umar Sadiq Mesbah,27,195,0,Poacher
Marko Arnautović,282,283,3,Advanced Forward
Denis Mihai Drăguş,282,292,3,Advanced Forward
Michael Owen,44,159,0,Poacher
Alberto Paloschi,27,1692,0,Poacher
Tim Kleindienst,281,173,0,Poacher
Maximilian Beier,281,157,0,Poacher
Gue-Sung Cho,106,291,2,Complete Forward
Alberto Gilardino,27,2371,0,Poacher
Luuk de Jong,90,145,0,Poacher
Iago Aspas Juncal,42,185,0,Poacher
Barnabás Varga,282,255,0,Poacher
Luis Alberto Suárez Díaz,4,2669,3,Advanced Forward
Neymar da Silva Santos Junior,235,369,3,Advanced Forward
Robert Pirès,44,180,3,Advanced Forward
Miroslav Klose,27,1328,0,Poacher
Gareth Frank Bale,106,188,0,Poacher
Marco Borriello,27,1605,3,Advanced Forward
