player,team,season_id,finishing_quality,chance_creation,ball_progression,one_v_one,off_ball_movement,defensive_contribution,cluster_profile,relative_finishing_quality,relative_chance_creation,relative_ball_progression,relative_one_v_one,relative_off_ball_movement,relative_defensive_contribution
Adrien Truffert,Rennes,108,7.0,7.0,5.71,7.0,7.0,7.0,Complete Forward,0.21499999999999986,0.21499999999999986,-1.0750000000000002,0.21499999999999986,0.21499999999999986,0.21499999999999986
Adrián Marín Gómez,Granada,90,7.0,7.0,5.68,7.0,7.0,7.0,Complete Forward,0.21999999999999975,0.21999999999999975,-1.1000000000000005,0.21999999999999975,0.21999999999999975,0.21999999999999975
Aitor Ruibal García,Real Betis,90,7.0,7.0,5.57,7.0,7.0,7.0,Complete Forward,0.23833333333333329,0.23833333333333329,-1.1916666666666664,0.23833333333333329,0.23833333333333329,0.23833333333333329
Alessandro Longhi,Sassuolo,27,7.0,7.0,8.17,7.0,7.0,7.0,Complete Forward,-0.19500000000000028,-0.19500000000000028,0.9749999999999996,-0.19500000000000028,-0.19500000000000028,-0.19500000000000028
Allan Romeo Nyom,Leganés,4,7.0,7.0,5.85,7.0,7.0,7.0,Complete Forward,0.19166666666666643,0.19166666666666643,-0.9583333333333339,0.19166666666666643,0.19166666666666643,0.19166666666666643
Arbër Hoxha,Albania,282,7.0,7.0,5.51,7.0,7.0,7.0,Complete Forward,0.24833333333333396,0.24833333333333396,-1.2416666666666663,0.24833333333333396,0.24833333333333396,0.24833333333333396
Ayoze Pérez Gutiérrez,Spain,282,7.0,7.0,5.71,7.0,7.0,7.0,Complete Forward,0.21499999999999986,0.21499999999999986,-1.0750000000000002,0.21499999999999986,0.21499999999999986,0.21499999999999986
Darko Brašanac,Deportivo Alavés,4,7.0,7.0,5.76,7.0,7.0,7.0,Complete Forward,0.206666666666667,0.206666666666667,-1.0333333333333332,0.206666666666667,0.206666666666667,0.206666666666667
Davide Brivio,Atalanta,27,7.0,7.0,7.03,7.0,7.0,7.0,Complete Forward,-0.004999999999999893,-0.004999999999999893,0.025000000000000355,-0.004999999999999893,-0.004999999999999893,-0.004999999999999893
Eden Hazard,Belgium,106,7.0,7.0,5.94,7.0,7.0,7.0,Complete Forward,0.17666666666666675,0.17666666666666675,-0.8833333333333329,0.17666666666666675,0.17666666666666675,0.17666666666666675
Federico Vico Villegas,Granada,90,7.0,7.0,10.0,7.0,7.0,7.0,Complete Forward,-0.5,-0.5,2.5,-0.5,-0.5,-0.5
Gaël Kakuta,Lens,108,7.0,7.0,5.9,7.0,7.0,7.0,Complete Forward,0.18333333333333357,0.18333333333333357,-0.9166666666666661,0.18333333333333357,0.18333333333333357,0.18333333333333357
Gaëtan Perrin,Auxerre,235,7.0,7.0,5.71,7.0,7.0,7.0,Complete Forward,0.21499999999999986,0.21499999999999986,-1.0750000000000002,0.21499999999999986,0.21499999999999986,0.21499999999999986
Gerard Gumbau Garriga,Leganés,4,7.0,7.0,6.4,7.0,7.0,7.0,Complete Forward,0.10000000000000053,0.10000000000000053,-0.4999999999999991,0.10000000000000053,0.10000000000000053,0.10000000000000053
Hattan Babhir,Saudi Arabia,106,7.0,7.0,5.7,7.0,7.0,7.0,Complete Forward,0.2166666666666659,0.2166666666666659,-1.083333333333334,0.2166666666666659,0.2166666666666659,0.2166666666666659
Hee-Chan Hwang,South Korea,106,7.0,7.0,6.3,7.0,7.0,7.0,Complete Forward,0.11666666666666714,0.11666666666666714,-0.583333333333333,0.11666666666666714,0.11666666666666714,0.11666666666666714
Irvin Cardona,Stade Brestois,235,7.0,7.0,7.43,7.0,7.0,7.0,Complete Forward,-0.07166666666666632,-0.07166666666666632,0.3583333333333334,-0.07166666666666632,-0.07166666666666632,-0.07166666666666632
Ivane Chegra,AC Ajaccio,235,7.0,7.0,6.94,7.0,7.0,7.0,Complete Forward,0.010000000000000675,0.010000000000000675,-0.049999999999998934,0.010000000000000675,0.010000000000000675,0.010000000000000675
Jeremy Leonel Sarmiento Morante,Ecuador,106,7.0,7.0,6.19,7.0,7.0,7.0,Complete Forward,0.13500000000000068,0.13500000000000068,-0.6749999999999989,0.13500000000000068,0.13500000000000068,0.13500000000000068
Jonathan de Guzmán,Carpi,27,7.0,7.0,5.57,7.0,7.0,7.0,Complete Forward,0.23833333333333329,0.23833333333333329,-1.1916666666666664,0.23833333333333329,0.23833333333333329,0.23833333333333329
Karim Laribi,Sassuolo,27,7.0,7.0,6.17,7.0,7.0,7.0,Complete Forward,0.13833333333333275,0.13833333333333275,-0.6916666666666673,0.13833333333333275,0.13833333333333275,0.13833333333333275
Lorenz Assignon,Rennes,235,7.0,7.0,7.53,7.0,7.0,7.0,Complete Forward,-0.08833333333333382,-0.08833333333333382,0.44166666666666643,-0.08833333333333382,-0.08833333333333382,-0.08833333333333382
Martin Baturina,Croatia,282,7.0,7.0,5.72,7.0,7.0,7.0,Complete Forward,0.21333333333333382,0.21333333333333382,-1.0666666666666664,0.21333333333333382,0.21333333333333382,0.21333333333333382
Matteo Mancosu,Bologna,27,7.0,7.0,5.55,7.0,7.0,7.0,Complete Forward,0.24166666666666714,0.24166666666666714,-1.208333333333333,0.24166666666666714,0.24166666666666714,0.24166666666666714
Mohamed Zeki Amdouni,Switzerland,282,7.0,7.0,6.81,7.0,7.0,7.0,Complete Forward,0.03166666666666629,0.03166666666666629,-0.1583333333333341,0.03166666666666629,0.03166666666666629,0.03166666666666629
Panagiotis Tachtsidis,Genoa,27,7.0,7.0,5.72,7.0,7.0,7.0,Complete Forward,0.21333333333333382,0.21333333333333382,-1.0666666666666664,0.21333333333333382,0.21333333333333382,0.21333333333333382
Patrick Twumasi,Deportivo Alavés,4,7.0,7.0,5.53,7.0,7.0,7.0,Complete Forward,0.2450000000000001,0.2450000000000001,-1.2249999999999996,0.2450000000000001,0.2450000000000001,0.2450000000000001
Ray Parlour,Arsenal,44,7.0,7.0,5.55,7.0,7.0,7.0,Complete Forward,0.24166666666666714,0.24166666666666714,-1.208333333333333,0.24166666666666714,0.24166666666666714,0.24166666666666714
Selim Amallah,Morocco,106,7.0,7.0,5.86,7.0,7.0,7.0,Complete Forward,0.1900000000000004,0.1900000000000004,-0.9499999999999993,0.1900000000000004,0.1900000000000004,0.1900000000000004
Silas Katompa Mvumpa,VfB Stuttgart,281,7.0,7.0,5.79,7.0,7.0,7.0,Complete Forward,0.2016666666666671,0.2016666666666671,-1.0083333333333329,0.2016666666666671,0.2016666666666671,0.2016666666666671
Silvan Widmer,Udinese,27,7.0,7.0,5.56,7.0,7.0,7.0,Complete Forward,0.23999999999999932,0.23999999999999932,-1.200000000000001,0.23999999999999932,0.23999999999999932,0.23999999999999932
